Result,Season,Score.Diff,Seed.Diff,Higher.Seed,SAG.Diff,Higher.SAG
Win,2003,8,0,16,-6,251
Win,2003,29,-15,1,-156,2
Loss,2003,-13,-3,7,-8,24
Loss,2003,-6,-5,6,-30,18
Win,2003,2,-1,8,-6,40
Win,2003,5,-7,5,-5,23
Win,2003,10,-11,3,-79,10
Loss,2003,-5,-1,8,3,39
Win,2003,5,-9,4,-49,11
Win,2003,3,-13,2,-97,4
Win,2003,4,-11,3,-54,14
Win,2003,1,-5,6,-28,22
Win,2003,1,-7,5,-27,17
Win,2003,17,-15,1,-223,8
Win,2003,8,-9,4,-58,29
Loss,2003,-13,-9,4,-32,26
Win,2003,7,-7,5,-40,19
Loss,2003,-2,-3,7,-23,20
Loss,2003,-1,-7,5,-19,16
Win,2003,30,-13,2,-131,7
Win,2003,5,-3,7,4,37
Win,2003,31,-15,1,-161,1
Win,2003,22,-9,4,-97,6
Win,2003,2,-5,6,-30,21
Win,2003,15,-3,7,3,33
Win,2003,14,-5,6,-24,25
Win,2003,26,-13,2,-171,3
Loss,2003,-24,-1,8,-7,27
Win,2003,11,-11,3,-57,12
Win,2003,21,-15,1,-246,5
Loss,2003,-2,-1,8,-8,30
Win,2003,3,-13,2,-124,9
Win,2003,12,-11,3,-65,13
Win,2003,1,-8,1,-37,2
Loss,2003,-11,-1,4,6,23
Win,2003,26,-8,3,-38,10
Win,2003,32,-8,2,-28,4
Win,2003,9,-3,3,-8,14
Loss,2003,-8,-1,4,-6,11
Win,2003,9,-7,1,-32,8
Win,2003,1,-8,5,-39,19
Loss,2003,-6,-8,2,-34,9
Loss,2003,-8,-8,4,-29,6
Win,2003,20,-8,1,-37,1
Loss,2003,-13,-3,3,-8,13
Loss,2003,-22,-5,2,-29,7
Win,2003,22,-5,2,-38,3
Win,2003,12,-3,3,-13,12
Win,2003,10,-8,1,-29,5
Win,2003,17,-4,1,-15,2
Win,2003,4,-1,2,-6,4
Win,2003,6,-4,1,-18,1
Loss,2003,-3,-1,2,-11,3
Loss,2003,-2,-1,6,-15,21
Win,2003,11,-11,1,-27,8
Win,2003,1,-7,3,-31,12
Win,2003,4,-4,1,-18,5
Loss,2003,-3,-1,1,-2,2
Loss,2003,-14,-2,1,-13,1
Loss,2003,-16,-2,1,-4,8
Win,2003,9,-6,1,-31,5
Win,2003,33,-1,2,-10,4
Loss,2003,-11,-2,1,-7,5
Loss,2003,-3,-1,2,-8,4
Win,2004,15,0,16,65,222
Win,2004,1,-1,8,-3,33
